Unnamed: 0,stat,time,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi,Supertrend Values,Supertrend Signal
257,Ok,2023-10-03 11:12:00,1696311720,19509.7,19511.8,19509.55,19511.5,0.0,0,0,0,0,19514.98799255099,-1
256,Ok,2023-10-03 11:13:00,1696311780,19511.85,19513.45,19510.1,19510.2,0.0,0,0,0,0,19514.98799255099,-1
255,Ok,2023-10-03 11:14:00,1696311840,19509.95,19511.8,19509.2,19510.35,0.0,0,0,0,0,19514.98799255099,-1
254,Ok,2023-10-03 11:15:00,1696311900,19510.95,19515.9,19509.8,19514.7,0.0,0,0,0,0,19514.98799255099,-1
253,Ok,2023-10-03 11:16:00,1696311960,19515.8,19517.25,19515.3,19516.85,0.0,0,0,0,0,19509.417393935768,1
252,Ok,2023-10-03 11:17:00,1696312020,19516.95,19517.45,19515.6,19516.1,0.0,0,0,0,0,19509.862286263502,1
251,Ok,2023-10-03 11:18:00,1696312080,19516.65,19518.9,19516.2,19516.75,0.0,0,0,0,0,19511.004835516556,1
250,Ok,2023-10-03 11:19:00,1696312140,19517.25,19518.35,19514.35,19516.15,0.0,0,0,0,0,19511.004835516556,1
249,Ok,2023-10-03 11:20:00,1696312200,19516.75,19518.35,19516.1,19516.7,0.0,0,0,0,0,19511.004835516556,1
248,Ok,2023-10-03 11:21:00,1696312260,19517.15,19517.35,19513.2,19513.2,0.0,0,0,0,0,19511.004835516556,1
247,Ok,2023-10-03 11:22:00,1696312320,19513.9,19515.8,19511.45,19511.45,0.0,0,0,0,0,19511.004835516556,1
246,Ok,2023-10-03 11:23:00,1696312380,19512.2,19518.1,19510.85,19517.95,0.0,0,0,0,0,19511.004835516556,1
245,Ok,2023-10-03 11:24:00,1696312440,19518.75,19531.0,19518.75,19527.3,0.0,0,0,0,0,19517.67041928369,1
244,Ok,2023-10-03 11:25:00,1696312500,19528.35,19530.75,19526.9,19529.85,0.0,0,0,0,0,19521.68860882257,1
243,Ok,2023-10-03 11:26:00,1696312560,19530.4,19533.2,19530.4,19532.0,0.0,0,0,0,0,19524.764311974286,1
242,Ok,2023-10-03 11:27:00,1696312620,19532.95,19538.45,19531.15,19531.15,0.0,0,0,0,0,19527.57763242638,1
241,Ok,2023-10-03 11:28:00,1696312680,19532.3,19532.6,19528.65,19529.1,0.0,0,0,0,0,19527.57763242638,1
240,Ok,2023-10-03 11:29:00,1696312740,19529.9,19530.05,19525.95,19527.55,0.0,0,0,0,0,19535.1123131962,-1
239,Ok,2023-10-03 11:30:00,1696312800,19529.5,19532.15,19528.4,19530.2,0.0,0,0,0,0,19535.1123131962,-1
238,Ok,2023-10-03 11:31:00,1696312860,19531.0,19533.7,19529.3,19531.6,0.0,0,0,0,0,19535.1123131962,-1
